customer_hash,R,F,M,cluster_id,cluster_name
14c4f35e,340,1,92.03,0,Recent one-time
9c90e2ab,227,1,77.85,0,Recent one-time
98a9a4aa,583,1,55.18,1,Lapsed one-time
2d9f3379,941,1,56.19,1,Lapsed one-time
8f2a4736,706,1,92.99,1,Lapsed one-time
e2db3ea8,840,1,49.2,1,Lapsed one-time
59557b1c,902,2,82.78,2,Loyal core (repeat buyers)
2902a089,472,1,49.07,1,Lapsed one-time
96989bf8,393,1,128.58,0,Recent one-time
9472f746,579,3,160.59,2,Loyal core (repeat buyers)
63971dd0,832,1,129.07,1,Lapsed one-time
4bb7e9a0,563,1,87.65,1,Lapsed one-time
b73e5a08,123,1,84.85,0,Recent one-time
06ad9bda,708,1,54.2,1,Lapsed one-time
15b8db90,844,1,43.17,1,Lapsed one-time
0ffd3207,59,1,83.24,0,Recent one-time
f40cd8e9,507,2,177.93,2,Loyal core (repeat buyers)
1ded8a2f,611,2,117.1,2,Loyal core (repeat buyers)
65911f8e,96,1,126.04,0,Recent one-time
0c626ee0,832,2,88.9,2,Loyal core (repeat buyers)
67f484aa,782,1,151.03,1,Lapsed one-time
2909a05b,353,1,43.81,0,Recent one-time
b2945ec9,607,1,55.21,1,Lapsed one-time
28231c7f,588,1,54.49,1,Lapsed one-time
d5959ee0,257,1,130.43,0,Recent one-time
0dc26b43,529,2,212.68,2,Loyal core (repeat buyers)
8fafc184,233,1,143.42,0,Recent one-time
3e83a66c,651,1,54.2,1,Lapsed one-time
122a8d66,1046,1,7.57,1,Lapsed one-time
794cd04a,385,1,35.21,1,Lapsed one-time
607ff33a,558,1,54.86,1,Lapsed one-time
b0b2ac54,200,1,119.6,0,Recent one-time
b57e2a8f,125,1,93.24,0,Recent one-time
d5b2381a,498,1,95.49,0,Recent one-time
915f61ec,244,2,172.74,2,Loyal core (repeat buyers)
38480e04,47,1,92.28,0,Recent one-time
907af25d,27,1,75.8,0,Recent one-time
5b80ade9,1055,1,7.53,1,Lapsed one-time
ab5dc7bc,888,3,44.33,2,Loyal core (repeat buyers)
e523e786,573,1,54.49,1,Lapsed one-time
ef9b4360,249,1,54.68,0,Recent one-time
fb137816,214,1,55.85,0,Recent one-time
19092667,841,1,48.86,1,Lapsed one-time
7ac24ea5,198,1,55.31,0,Recent one-time
20184696,181,1,84.69,0,Recent one-time
bdfe6888,262,1,51.22,0,Recent one-time
d2a04847,42,2,229.14,2,Loyal core (repeat buyers)
d79385fe,98,1,217.21,0,Recent one-time
e080c69f,636,1,86.15,1,Lapsed one-time
232467ab,229,1,55.24,0,Recent one-time
cd3df3b8,365,2,148.16,2,Loyal core (repeat buyers)
d8cbb52e,159,1,84.59,0,Recent one-time
33fa56e6,719,1,83.3,1,Lapsed one-time
1b103d5a,403,1,54.67,0,Recent one-time
a8081bc3,716,1,81.16,1,Lapsed one-time
876e2ec2,192,1,54.6,0,Recent one-time
a99ce0f1,305,1,273.87,0,Recent one-time
f56788db,801,1,93.38,1,Lapsed one-time
00802fed,311,2,86.56,2,Loyal core (repeat buyers)
080f4161,537,1,54.99,1,Lapsed one-time
f55d1614,44,3,545.8,2,Loyal core (repeat buyers)
c19b4613,655,1,53.45,1,Lapsed one-time
4637a3e9,627,1,98.8,1,Lapsed one-time
3ad13974,281,1,82.93,0,Recent one-time
8ada1d4e,305,1,217.72,0,Recent one-time
0ba811db,289,1,103.51,0,Recent one-time
5baa7750,1068,1,65.22,1,Lapsed one-time
1f67859d,571,1,53.64,1,Lapsed one-time
b0234b66,178,1,100.09,0,Recent one-time
13c47c8e,284,1,33.55,0,Recent one-time
d7872f03,504,1,55.41,1,Lapsed one-time
857b0771,315,3,244.48,2,Loyal core (repeat buyers)
3b9321d5,301,1,133.65,0,Recent one-time
7f27c561,205,1,82.75,0,Recent one-time
2ef0e2bc,42,1,102.89,0,Recent one-time
5e006ecd,256,2,390.02,2,Loyal core (repeat buyers)
6268eb40,549,1,33.26,1,Lapsed one-time
2d52fa8f,620,1,41.74,1,Lapsed one-time
158eb8c4,624,1,226.19,0,Recent one-time
d365e81b,189,2,128.51,2,Loyal core (repeat buyers)
9c080e56,138,2,176.9,2,Loyal core (repeat buyers)
f53b2021,571,1,53.61,1,Lapsed one-time
49f5c8e8,599,1,55.11,1,Lapsed one-time
36083612,158,1,98.67,0,Recent one-time
9a95f449,54,1,83.72,0,Recent one-time
0489e6de,233,1,130.92,0,Recent one-time
9706cd0c,519,2,111.06,2,Loyal core (repeat buyers)
7687354d,254,1,82.57,0,Recent one-time
2cea3eeb,745,1,27.95,1,Lapsed one-time
0dfd483c,121,1,128.16,0,Recent one-time
640824ff,461,1,67.61,0,Recent one-time
cdb8051a,603,1,54.72,1,Lapsed one-time
98954c34,597,1,48.93,1,Lapsed one-time
78e3a053,391,1,200.26,0,Recent one-time
2b7a5f32,401,1,56.21,0,Recent one-time
23f4e683,222,1,83.61,0,Recent one-time
99bbecdc,224,1,30.97,0,Recent one-time
37087c80,1033,1,40.88,1,Lapsed one-time
08527b35,48,1,102.89,0,Recent one-time
471df398,178,1,56.03,0,Recent one-time
240a225b,204,2,128.86,2,Loyal core (repeat buyers)
5080c739,284,1,218.29,0,Recent one-time
9bd1ab32,54,1,63.35,0,Recent one-time
90f895ea,181,1,84.28,0,Recent one-time
14220661,298,3,170.59,2,Loyal core (repeat buyers)
68a5bb97,840,1,42.92,1,Lapsed one-time
03f5be7a,917,1,48.14,1,Lapsed one-time
d3a065a2,290,2,164.88,2,Loyal core (repeat buyers)
a306a024,619,1,54.59,1,Lapsed one-time
6ae963ef,711,1,44.3,1,Lapsed one-time
eb0327b4,909,1,110.59,1,Lapsed one-time
8d314ce0,1031,2,61.77,1,Lapsed one-time
58a5abf2,1021,1,84.6,1,Lapsed one-time
7b250c62,559,1,54.2,1,Lapsed one-time
b46eca5c,396,3,212.99,2,Loyal core (repeat buyers)
63135457,354,1,96.81,0,Recent one-time
393dcf90,250,2,161.17,2,Loyal core (repeat buyers)
56e8167c,358,1,82.88,0,Recent one-time
7d3ced6d,198,1,33.35,0,Recent one-time
cdb71649,108,1,53.79,0,Recent one-time
ac22b754,75,7,496.75,2,Loyal core (repeat buyers)
17891721,542,2,129.04,2,Loyal core (repeat buyers)
c6c082d4,114,1,55.35,0,Recent one-time
6606d80d,514,1,163.36,0,Recent one-time
fc40ab9a,224,1,127.89,0,Recent one-time
cdac381c,990,2,55.51,1,Lapsed one-time
0955f370,182,2,108.62,2,Loyal core (repeat buyers)
a08150bc,916,1,48.98,1,Lapsed one-time
00d1a2d1,309,1,81.59,0,Recent one-time
